Subject,ModelId,OptimStage,OptimSubstage,Replicate,Iteration,AnalysisId,ParameterCode,NegativeLogLikelihood (float),ParameterValue (float)
fisheries,schaefer,Tuning,None,1,499,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-7.274524984148968,0.28003239931108087
fisheries,schaefer,Tuning,None,1,699,546272fd-1817-4d29-a66b-93dc696e41f8,K,-4.889961319776233,1627.3609115418249
fisheries,schaefer,Tuning,None,1,699,546272fd-1817-4d29-a66b-93dc696e41f8,q,-4.889961319776233,0.0005755639806392592
fisheries,schaefer,Tuning,None,1,699,546272fd-1817-4d29-a66b-93dc696e41f8,r,-4.889961319776233,0.8915250593340815
fisheries,schaefer,Tuning,None,1,699,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-4.889961319776233,0.3251203487746789
fisheries,schaefer,Tuning,None,1,899,546272fd-1817-4d29-a66b-93dc696e41f8,K,-7.235739193418448,1635.726179647817
fisheries,schaefer,Tuning,None,1,899,546272fd-1817-4d29-a66b-93dc696e41f8,q,-7.235739193418448,0.000638339452489353
fisheries,schaefer,Tuning,None,1,899,546272fd-1817-4d29-a66b-93dc696e41f8,r,-7.235739193418448,0.8125722897010412
fisheries,schaefer,Tuning,None,1,899,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-7.235739193418448,0.2813193708385068
fisheries,schaefer,Tuning,None,1,1099,546272fd-1817-4d29-a66b-93dc696e41f8,K,-6.098133664271535,1648.0209063238547
fisheries,schaefer,Tuning,None,1,1099,546272fd-1817-4d29-a66b-93dc696e41f8,q,-6.098133664271535,0.0005642637101564066
fisheries,schaefer,Tuning,None,1,1099,546272fd-1817-4d29-a66b-93dc696e41f8,r,-6.098133664271535,0.8293637237218735
fisheries,schaefer,Tuning,None,1,1099,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-6.098133664271535,0.30377028542910717
fisheries,schaefer,Tuning,None,1,1299,546272fd-1817-4d29-a66b-93dc696e41f8,K,-3.5703560582763845,1683.3040414802726
fisheries,schaefer,Tuning,None,1,1299,546272fd-1817-4d29-a66b-93dc696e41f8,q,-3.5703560582763845,0.000577743077425688
fisheries,schaefer,Tuning,None,1,1299,546272fd-1817-4d29-a66b-93dc696e41f8,r,-3.5703560582763845,0.7695180788729507
fisheries,schaefer,Tuning,None,1,1299,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-3.5703560582763845,0.4218647834008096
fisheries,schaefer,Tuning,None,1,1499,546272fd-1817-4d29-a66b-93dc696e41f8,K,-5.6861276465406085,1912.043468088902
fisheries,schaefer,Tuning,None,1,1499,546272fd-1817-4d29-a66b-93dc696e41f8,q,-5.6861276465406085,0.00045544985725556544
fisheries,schaefer,Tuning,None,1,1499,546272fd-1817-4d29-a66b-93dc696e41f8,r,-5.6861276465406085,0.7213822780840856
fisheries,schaefer,Tuning,None,1,1499,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-5.6861276465406085,0.22410990322546437
fisheries,schaefer,Tuning,None,1,1699,546272fd-1817-4d29-a66b-93dc696e41f8,K,-7.828813300137238,1889.48558382389
fisheries,schaefer,Tuning,None,1,1699,546272fd-1817-4d29-a66b-93dc696e41f8,q,-7.828813300137238,0.0005526999941923972
fisheries,schaefer,Tuning,None,1,1699,546272fd-1817-4d29-a66b-93dc696e41f8,r,-7.828813300137238,0.7020101996613658
fisheries,schaefer,Tuning,None,1,1699,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-7.828813300137238,0.2889160837475619
fisheries,schaefer,Tuning,None,1,1899,546272fd-1817-4d29-a66b-93dc696e41f8,K,-9.13612615833038,1903.4708547814655
fisheries,schaefer,Tuning,None,1,1899,546272fd-1817-4d29-a66b-93dc696e41f8,q,-9.13612615833038,0.0005356514286251095
fisheries,schaefer,Tuning,None,1,1899,546272fd-1817-4d29-a66b-93dc696e41f8,r,-9.13612615833038,0.6699508633788606
fisheries,schaefer,Tuning,None,1,1899,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-9.13612615833038,0.31552053895313725
fisheries,schaefer,Tuning,None,1,2099,546272fd-1817-4d29-a66b-93dc696e41f8,K,-7.949236732051646,1875.2583537412015
fisheries,schaefer,Tuning,None,1,2099,546272fd-1817-4d29-a66b-93dc696e41f8,q,-7.949236732051646,0.0005155762233112316
fisheries,schaefer,Tuning,None,1,2099,546272fd-1817-4d29-a66b-93dc696e41f8,r,-7.949236732051646,0.7003645398357979
fisheries,schaefer,Tuning,None,1,2099,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-7.949236732051646,0.22264570381472512
fisheries,schaefer,Tuning,None,1,2299,546272fd-1817-4d29-a66b-93dc696e41f8,K,-13.357642635114791,1971.2794061676782
fisheries,schaefer,Tuning,None,1,2299,546272fd-1817-4d29-a66b-93dc696e41f8,q,-13.357642635114791,0.0006095751310814696
fisheries,schaefer,Tuning,None,1,2299,546272fd-1817-4d29-a66b-93dc696e41f8,r,-13.357642635114791,0.6142156705200206
fisheries,schaefer,Tuning,None,1,2299,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-13.357642635114791,0.1605795755474963
fisheries,schaefer,Tuning,None,1,2499,546272fd-1817-4d29-a66b-93dc696e41f8,K,-14.966004210739998,1979.0445616833927
fisheries,schaefer,Tuning,None,1,2499,546272fd-1817-4d29-a66b-93dc696e41f8,q,-14.966004210739998,0.0006243487473323464
fisheries,schaefer,Tuning,None,1,2499,546272fd-1817-4d29-a66b-93dc696e41f8,r,-14.966004210739998,0.6079819132679873
fisheries,schaefer,Tuning,None,1,2499,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-14.966004210739998,0.17221710362753087
fisheries,schaefer,Tuning,None,1,2699,546272fd-1817-4d29-a66b-93dc696e41f8,K,-14.823492979818063,1978.6024354815195
fisheries,schaefer,Tuning,None,1,2699,546272fd-1817-4d29-a66b-93dc696e41f8,q,-14.823492979818063,0.0007273440870943814
fisheries,schaefer,Tuning,None,1,2699,546272fd-1817-4d29-a66b-93dc696e41f8,r,-14.823492979818063,0.5960994768532534
fisheries,schaefer,Tuning,None,1,2699,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-14.823492979818063,0.21019955803856896
fisheries,schaefer,Tuning,None,1,2899,546272fd-1817-4d29-a66b-93dc696e41f8,K,-16.467129102486933,1987.1703582108082
fisheries,schaefer,Tuning,None,1,2899,546272fd-1817-4d29-a66b-93dc696e41f8,q,-16.467129102486933,0.0006704324314581244
fisheries,schaefer,Tuning,None,1,2899,546272fd-1817-4d29-a66b-93dc696e41f8,r,-16.467129102486933,0.5990969593178538
